yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs
船舶海洋与建筑工程学院,刘萍,副教授                  ,色彩（Ⅰ）                                        ,005-(2012-2013-2)AD104(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第4节
.(1-16周).刘萍 副教授
.(1-16周).段滨 讲师(高校)
",限建筑学                                                                                                                                                                                                                                                            ,2012,2012-2013,2,45
船舶海洋与建筑工程学院,宋元斌,高级工程师              ,系统工程                                          ,001-(2012-2013-2)AM239(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
东中院2-301(1-16周).宋元斌
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,121
船舶海洋与建筑工程学院,刘士兴,副教授                  ,设计基础（2）                                     ,001-(2012-2013-2)AR107(教学班)                    ,144,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).刘士兴 副教授
.(1-16周).秦丹尼 副教授
.(1-16周).曹永康 副教授
星期四  第7节--第10节
.(1-16周).刘士兴 副教授
.(1-16周).秦丹尼 副教授
.(1-16周).曹永康 副教授
",专用教室，限建筑学，卢琦合上                                                                                                                                                                                                                                        ,2012,2012-2013,2,43
船舶海洋与建筑工程学院,刘萍,副教授                  ,素描实习（A类）                                   ,002-(2012-2013-2)AR111(教学班)                    ,34,2.0,"行课安排为第23周 --- 第26周,其中:
星期日  第1节--第4节
.(23-26周).段滨 讲师(高校)
.(23-26周).刘萍 副教授
","虚拟排课,限建筑学                                                                                                                                                                                                                                                   ",2012,2012-2013,2,42
船舶海洋与建筑工程学院,方从启,副教授                  ,建筑力学（2）                                     ,001-(2012-2013-2)AR112(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期五  第6节--第8节
中院313(1-16周).方从启
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,36
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,建筑设计及原理（1-2）                             ,001-(2012-2013-2)AR204(教学班)                    ,136,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).赵冬梅 工程师
.(1-16周).范文兵 副教授
.(1-16周).杜春宇 工程师
星期四  第7节--第10节
.(1-16周).赵冬梅 工程师
.(1-16周).范文兵 副教授
.(1-16周).杜春宇 工程师
",建筑学专业教室，限建筑业，与王浩娱老师合上                                                                                                                                                                                                                          ,2011,2012-2013,2,31
船舶海洋与建筑工程学院,刘萍,副教授                  ,美术与建筑表现                                    ,001-(2012-2013-2)AR206(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第4节
.(1-16周).段滨 讲师(高校)
.(1-16周).刘萍 副教授
",建筑学专用教室                                                                                                                                                                                                                                                      ,2011,2012-2013,2,32
船舶海洋与建筑工程学院,秦丹尼,副教授                  ,环境行为心理学                                    ,001-(2012-2013-2)AR211(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东中院4-505(1-16周).秦丹尼
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,38
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,外国建筑史                                        ,001-(2012-2013-2)AR217(教学班)                    ,64,4.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
中院404(1-16周).赵冬梅
星期五  第3节--第4节
中院404(1-16周).赵冬梅
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,33
船舶海洋与建筑工程学院,林峰,副教授                  ,建筑构造（2）                                     ,001-(2012-2013-2)AR218(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
东中院4-405(1-16周).林峰
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,44
船舶海洋与建筑工程学院,刘萍,副教授                  ,色彩实习                                          ,001-(2012-2013-2)AR219(教学班)                    ,34,2.0,"行课安排为第23周 --- 第24周,其中:
星期六  第1节--第2节
.(23-24周).段滨 讲师(高校)
.(23-24周).刘萍 副教授
",小学期后上课                                                                                                                                                                                                                                                        ,2011,2012-2013,2,31
船舶海洋与建筑工程学院,黄继红,副研究员                ,建筑物理环境（2）                                 ,001-(2012-2013-2)AR303(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
东中院1-102(1-16周).黄继红
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,44
船舶海洋与建筑工程学院,盛翀,副教授                  ,景观设计                                          ,001-(2012-2013-2)AR310(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
东中院4-405(1-16周).盛翀
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,39
船舶海洋与建筑工程学院,曹永康,副教授                  ,古建营造                                          ,001-(2012-2013-2)AR313(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
下院212(1-16周).曹永康
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,11
船舶海洋与建筑工程学院,马文军,副教授                  ,建筑设计及原理（2-2）                             ,001-(2012-2013-2)AR315(教学班)                    ,136,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).赵国文
.(1-16周).马文军
.(1-16周).陆邵明
星期四  第1节--第4节
.(1-16周).赵国文
.(1-16周).马文军
.(1-16周).陆邵明
",建筑学专用教室，张炯合上                                                                                                                                                                                                                                            ,2010,2012-2013,2,43
船舶海洋与建筑工程学院,姜静,副教授                  ,建筑结构（2）                                     ,001-(2012-2013-2)AR316(教学班)                    ,36,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第1节--第2节
东中院1-102(1-16周).姜静
",限建筑学                                                                                                                                                                                                                                                            ,2010,2012-2013,2,43
船舶海洋与建筑工程学院,曹永康,副教授                  ,历史建筑测绘与调查                                ,002-(2012-2013-2)AR317(教学班)                    ,51,3.0,"行课安排为第23周 --- 第26周,其中:
星期六  第1节--第2节
.(23-26周).曹永康 副教授
.(23-26周).兰丽 助理研究员(自然科学)
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,40
船舶海洋与建筑工程学院,兰丽,助理研究员              ,施工实习                                          ,002-(2012-2013-2)AR318(教学班)                    ,17,1.0,"行课安排为第23周 --- 第26周,其中:
星期日  第1节--第2节
.(23-26周).兰丽 助理研究员
",小学期结束后进行                                                                                                                                                                                                                                                    ,2010,2012-2013,2,40
船舶海洋与建筑工程学院,张会波,讲师(高校)              ,建筑设备（2）                                     ,001-(2012-2013-2)AR402(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
东中院1-102(1-16周).张会波
",限建筑学专业                                                                                                                                                                                                                                                        ,2009,2012-2013,2,43
船舶海洋与建筑工程学院,宣湟,讲师(高校)              ,生态建筑概论                                      ,001-(2012-2013-2)AR411(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
东中院1-201(1-16周).宣湟
",英语授课                                                                                                                                                                                                                                                            ,2010,2012-2013,2,16
船舶海洋与建筑工程学院,吴建,工程师                  ,当代建筑与思潮                                    ,001-(2012-2013-2)AR412(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
东中院1-301(1-16周).吴建
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,35
船舶海洋与建筑工程学院,黄建云,教授                    ,建筑设计及原理（3-2）                             ,001-(2012-2013-2)AR413(教学班)                    ,136,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).黄建云 教授
.(1-16周).盛翀 副教授
.(1-16周).刘杰 副教授
星期四  第1节--第4节
.(1-16周).黄建云 教授
.(1-16周).盛翀 副教授
.(1-16周).刘杰 副教授
",限建筑学专业，张清合上                                                                                                                                                                                                                                              ,2009,2012-2013,2,43
船舶海洋与建筑工程学院,张清,高级工程师              ,建筑师业务                                        ,001-(2012-2013-2)AR415(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第6节--第8节
东中院1-301(1-16周).张清
",限建筑学专业                                                                                                                                                                                                                                                        ,2009,2012-2013,2,45
船舶海洋与建筑工程学院,刘士兴,副教授                  ,建筑赏析                                          ,002-(2012-2013-2)AR901(教学班)                    ,34,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第1节--第4节
中院205(19-22周).刘士兴 副教授
中院205(19-22周).赵冬梅 工程师
中院205(19-22周).卢琦 讲师(高校)
星期四  第1节--第4节
中院205(19-22周).刘士兴 副教授
中院205(19-22周).赵冬梅 工程师
中院205(19-22周).卢琦 讲师(高校)
",除建筑学学生外的全校学生                                                                                                                                                                                                                                            ,0,2012-2013,2,107
船舶海洋与建筑工程学院,刘士兴,副教授                  ,建筑赏析                                          ,001-(2012-2013-2)AR901(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第9节--第10节
下院109(1-16周).刘士兴
下院109(1-16周).赵冬梅
下院109(1-16周).卢琦
下院109(1-16周).王浩娱
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,99
船舶海洋与建筑工程学院,付功义,教授                    ,浮空飞行器与柔性结构设计                          ,001-(2012-2013-2)AV003(教学班)                    ,16,1.0,"行课安排为第19周 --- 第21周,其中:
星期二  第7节--第9节
下院310(19-21周).付功义
星期四  第7节--第9节
下院310(19-21周).付功义
",本科2、3年级                                                                                                                                                                                                                                                        ,0,2012-2013,2,12
船舶海洋与建筑工程学院,张景新,副教授                  ,流体力学（D类）                                   ,001-(2012-2013-2)AV203(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
东中院1-304(1-16周).张景新
星期四  第1节--第2节
东中院1-304(1-16周).张景新
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,27
船舶海洋与建筑工程学院,车驰东,讲师(高校)              ,工程热力学（D类）                                 ,001-(2012-2013-2)AV205(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东中院1-103(1-16周).车驰东
星期四  第7节--第8节
东中院1-103(1-16周).车驰东
",双语授课                                                                                                                                                                                                                                                            ,2011,2012-2013,2,29
船舶海洋与建筑工程学院,滕念管,副教授                  ,毕业设计（论文）（土木工程）                      ,001-(2012-2013-2)BS001(教学班)                    ,272,16.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).滕念管 副教授
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,59
船舶海洋与建筑工程学院,于洪洁,副教授                  ,毕业设计（论文）（工程力学）                      ,001-(2012-2013-2)BS003(教学班)                    ,340,20.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).于洪洁 副教授
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,26
船舶海洋与建筑工程学院,夏利娟,副教授                  ,毕业设计（论文）（船舶与海洋工程）                ,001-(2012-2013-2)BS004(教学班)                    ,221,13.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).夏利娟 副教授
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,83
船舶海洋与建筑工程学院,张维竞,教授                    ,毕业设计（论文）（轮机工程）                      ,001-(2012-2013-2)BS005(教学班)                    ,289,17.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).张维竞 教授
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,26
船舶海洋与建筑工程学院,史小宁,讲师(高校)              ,毕业设计（论文）（国际航运）                      ,001-(2012-2013-2)BS006(教学班)                    ,289,17.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).史小宁 讲师(高校)
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,31
船舶海洋与建筑工程学院,张健,教授                    ,毕业设计（论文）（建筑学）                        ,002-(2012-2013-2)BS011(教学班)                    ,486,27.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).张健 教授
.(1-16周).张清 高级工程师
.(1-16周).范文兵 副教授
",虚拟时间，与盛翀，赵国文，林峰，黄建云，陆邵明，刘杰，刘士兴，马文军，范文兵，张清，曹永康，张炯等老师合带。                                                                                                                                                        ,2008,2012-2013,2,46
船舶海洋与建筑工程学院,Andrea Nanatti,高等学校教师            ,遗产学--世界艺术史及遗产在21世纪的全球性挑战      ,001-(2012-2013-2)CL015(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期一  第1节--第4节
中院305(19-22周).Andrea Nanetti
星期四  第7节--第10节
中院305(19-22周).Andrea Nanetti
",全英文                                                                                                                                                                                                                                                              ,0,2012-2013,2,32
船舶海洋与建筑工程学院,刘小凯,工程师                  ,计算机辅助设计（2）                               ,001-(2012-2013-2)CS112(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第9节--第10节
中院102(1-16周).刘小凯
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,31
船舶海洋与建筑工程学院,刘小凯,工程师                  ,计算机辅助设计实验                                ,001-(2012-2013-2)CS113(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第9节--第10节
中院102(1-16周).刘小凯
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,31
船舶海洋与建筑工程学院,Tom F. Peters,高等学校教师            ,大跨度桥梁建筑的发展                              ,002-(2012-2013-2)CV004(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第1节--第4节
下院108(19-22周).Tom F. Peters 高等学校教师
星期四  第1节--第4节
下院108(19-22周).Tom F. Peters 高等学校教师
","全英文
                                                                                                                                                                                                                                                            ",0,2012-2013,2,43
船舶海洋与建筑工程学院,寇新建,教授                    ,工程测量                                          ,001-(2012-2013-2)CV103(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东中院3-203(1-16周).寇新建
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,52
船舶海洋与建筑工程学院,刘西拉,教授                    ,土木工程概论                                      ,001-(2012-2013-2)CV104(教学班)                    ,16,1.0,"行课安排为第1周 --- 第8周,其中:
星期五  第1节--第2节
东中院3-102(1-8周).刘西拉
",双语授课                                                                                                                                                                                                                                                            ,2011,2012-2013,2,52
船舶海洋与建筑工程学院,陈兵,副教授                  ,建筑材料                                          ,001-(2012-2013-2)CV203(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
东中院3-102(1-16周).陈兵
星期五  第7节--第8节
东中院3-102(1-8周).陈兵
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,53
船舶海洋与建筑工程学院,秦丹尼,副教授                  ,房屋建筑学                                        ,001-(2012-2013-2)CV204(教学班)                    ,34,2.0,"行课安排为第1周 --- 第8周,其中:
星期三  第1节--第2节
东中院3-102(1-8周).秦丹尼 副教授
星期五  第3节--第4节
东中院3-102(1-8周).秦丹尼 副教授
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,54
船舶海洋与建筑工程学院,史健勇,副教授                  ,土木工程制图（B类）                               ,001-(2012-2013-2)CV212(教学班)                    ,51,3.0,"行课安排为第1周 --- 第13周,其中:
星期一  第7节--第8节
东中院3-102(1-13周).史健勇
星期四  第1节--第2节
东中院3-102(1-13周).史健勇
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,53
船舶海洋与建筑工程学院,徐峰,讲师(高校)              ,认识实习                                          ,001-(2012-2013-2)CV213(教学班)                    ,34,2.0,"行课安排为第23周 --- 第24周,其中:
星期六  第1节--第4节
.(23-24周).徐峰 讲师(高校)
.(23-24周).张家春 副教授
",小学期后实习，与赵永峰，卢琦老师一起带。                                                                                                                                                                                                                            ,2011,2012-2013,2,51
船舶海洋与建筑工程学院,寇新建,教授                    ,测量实习                                          ,001-(2012-2013-2)CV214(教学班)                    ,34,2.0,"行课安排为第23周 --- 第24周,其中:
星期六  第7节--第10节
.(23-24周).寇新建 教授
",小学期后实习                                                                                                                                                                                                                                                        ,2011,2012-2013,2,52
船舶海洋与建筑工程学院,秦丹尼,副教授                  ,房屋建筑学课程设计                                ,001-(2012-2013-2)CV215(教学班)                    ,34,2.0,"行课安排为第9周 --- 第12周,其中:
星期五  第1节--第8节
中院308(9-12周).秦丹尼 副教授
",同时借用中院310，与杜春宇老师合上                                                                                                                                                                                                                                   ,2011,2012-2013,2,59
船舶海洋与建筑工程学院,黄真,教授                    ,结构概念设计                                      ,001-(2012-2013-2)CV306(教学班)                    ,34,2.0,"行课安排为第9周 --- 第16周,其中:
星期三  第1节--第2节
东中院3-203(9-16周).黄真
星期五  第3节--第4节
东中院3-203(9-16周).黄真
",双语授课                                                                                                                                                                                                                                                            ,2010,2012-2013,2,23
船舶海洋与建筑工程学院,徐峰,讲师(高校)              ,土木工程施工                                      ,001-(2012-2013-2)CV309(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第2节
东中院3-202(1-16周).徐峰 讲师(高校)
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,56
船舶海洋与建筑工程学院,张振南,副教授                  ,岩石力学                                          ,001-(2012-2013-2)CV310(教学班)                    ,34,2.0,"行课安排为第1周 --- 第8周,其中:
星期二  第7节--第8节
东中院3-102(1-8周).张振南
星期四  第3节--第4节
东中院3-102(1-8周).张振南
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,7
船舶海洋与建筑工程学院,寇新建,教授                    ,结构可靠性理论                                    ,001-(2012-2013-2)CV315(教学班)                    ,34,2.0,"行课安排为第1周 --- 第8周,其中:
星期三  第3节--第4节
东中院3-402(1-8周).寇新建
星期五  第1节--第2节
东中院3-402(1-8周).寇新建
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,11
船舶海洋与建筑工程学院,滕念管,副教授                  ,钢结构基本原理                                    ,001-(2012-2013-2)CV328(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东中院3-402(1-16周).滕念管
东中院3-402(1-16周).赵金城
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,60
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,钢筋混凝土结构设计                                ,001-(2012-2013-2)CV348(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
东中院3-103(1-16周).宋晓冰
",英语授课                                                                                                                                                                                                                                                            ,2010,2012-2013,2,60
船舶海洋与建筑工程学院,徐永福,教授                    ,地基处理                                          ,001-(2012-2013-2)CV350(教学班)                    ,34,2.0,"行课安排为第9周 --- 第16周,其中:
星期三  第3节--第4节
东中院3-402(9-16周).徐永福
星期五  第7节--第8节
东中院3-402(9-16周).徐永福
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,57
船舶海洋与建筑工程学院,沈水龙,教授                    ,基础工程实例分析                                  ,001-(2012-2013-2)CV353(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
东中院3-303(1-16周).罗春泳
东中院3-303(1-16周).沈水龙
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,20
船舶海洋与建筑工程学院,王建华,教授                    ,基坑工程                                          ,001-(2012-2013-2)CV354(教学班)                    ,32,2.0,"行课安排为第1周 --- 第8周,其中:
星期三  第1节--第2节
东中院3-203(1-8周).王建华
东中院3-203(1-8周).陈锦剑
星期五  第3节--第4节
东中院3-203(1-8周).王建华
东中院3-203(1-8周).陈锦剑
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,55
船舶海洋与建筑工程学院,徐峰,讲师(高校)              ,施工实习                                          ,001-(2012-2013-2)CV355(教学班)                    ,68,4.0,"行课安排为第23周 --- 第26周,其中:
星期日  第1节--第2节
.(23-26周).张家春 副教授
.(23-26周).徐峰 讲师(高校)
",暑期                                                                                                                                                                                                                                                                ,2010,2012-2013,2,55
船舶海洋与建筑工程学院,段海娟,讲师(高校)              ,建筑结构抗震                                      ,001-(2012-2013-2)CV405(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第7节--第8节
东中院4-103(1-16周).段海娟
东中院4-103(1-16周).周岱
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,56
船舶海洋与建筑工程学院,高圣彬,副教授                  ,钢结构课程设计                                    ,001-(2012-2013-2)CV441(教学班)                    ,34,2.0,"行课安排为第1周 --- 第2周,其中:
星期一  第1节--第4节
.(1-2周).高圣彬 副教授
.(1-2周).宋振森 副教授
星期二  第1节--第4节
.(1-2周).高圣彬 副教授
.(1-2周).宋振森 副教授
星期四  第1节--第4节
.(1-2周).高圣彬 副教授
.(1-2周).宋振森 副教授
星期五  第1节--第4节
.(1-2周).高圣彬 副教授
.(1-2周).宋振森 副教授
",学院机房，限土木专业                                                                                                                                                                                                                                                ,2009,2012-2013,2,59
船舶海洋与建筑工程学院,张景新,副教授                  ,工程流体力学（A类）                               ,001-(2012-2013-2)EM003(教学班)                    ,51,3.0,"行课安排为第1周 --- 第13周,其中:
星期一  第3节--第4节
东中院1-303(1-13周).张景新
星期四  第3节--第4节
东中院1-303(1-13周).张景新
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,33
船舶海洋与建筑工程学院,余征跃,高级工程师              ,工程力学实验（A类）                               ,001-(2012-2013-2)EM007(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第7节--第8节
中院313(1-1周).余征跃 高级工程师
.(2-16周).余征跃 高级工程师
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,7
船舶海洋与建筑工程学院,王嘉松,教授                    ,工程流体力学（C类）                               ,001-(2012-2013-2)EM011(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
单周
星期二  第1节--第2节
中院106(1-16周).王嘉松
双周
星期二  第1节--第2节
中院106(1-16周).王嘉松
星期五  第1节--第2节
中院106(1-16周).王嘉松
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,38
船舶海洋与建筑工程学院,胡延东,副教授                  ,材料力学（C类）                                   ,001-(2012-2013-2)EM013(教学班)                    ,58,3.5,"行课安排为第1周 --- 第15周,其中:
星期三  第1节--第2节
东中院1-103(1-15周).胡延东
星期五  第3节--第4节
东中院1-103(1-15周).胡延东
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,36
船舶海洋与建筑工程学院,朱本华,副教授                  ,基础力学中的数学建模方法及解析                    ,001-(2012-2013-2)EM017(教学班)                    ,36,2.0,"行课安排为第3周 --- 第13周,其中:
星期三  第11节--第13节
上院108(3-13周).朱本华
上院108(3-13周).孙雁 副教授
上院108(3-13周).陈巨兵 教授
",授课对象：参加周培元力学竞赛的学生                                                                                                                                                                                                                                  ,0,2012-2013,2,61
船舶海洋与建筑工程学院,孙雁,副教授                  ,工程力学（2-材料力学部分）                        ,001-(2012-2013-2)EM020(教学班)                    ,51,3.0,"行课安排为第1周 --- 第13周,其中:
星期三  第1节--第2节
中院209(1-13周).孙雁
星期五  第3节--第4节
中院209(1-13周).孙雁
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,80
船舶海洋与建筑工程学院,王国庆,副教授                  ,工程力学（2-材料力学部分）                        ,002-(2012-2013-2)EM020(教学班)                    ,51,3.0,"行课安排为第1周 --- 第13周,其中:
星期三  第1节--第2节
中院405(1-13周).王国庆
星期五  第3节--第4节
中院405(1-13周).王国庆
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,73
船舶海洋与建筑工程学院,洪嘉振,教授                    ,力学与工程                                        ,001-(2012-2013-2)EM022(教学班)                    ,16,1.0,"行课安排为第19周 --- 第21周,其中:
星期二  第1节--第3节
上院206(19-21周).洪嘉振 教授
星期四  第1节--第3节
上院206(19-21周).洪嘉振 教授
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,56
船舶海洋与建筑工程学院,吴勇军,副研究员                ,理论力学（C类）                                   ,001-(2012-2013-2)EM151(教学班)                    ,72,4.0,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
中院105(1-16周).吴勇军
星期五  第3节--第4节
中院105(1-16周).吴勇军
",限海洋与土建类学生                                                                                                                                                                                                                                                  ,2012,2012-2013,2,112
船舶海洋与建筑工程学院,张晨利,副研究员                ,理论力学（C类）                                   ,002-(2012-2013-2)EM151(教学班)                    ,72,4.0,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
中院107(1-16周).张晨利
星期五  第3节--第4节
中院107(1-16周).张晨利
",限海洋与土建类学生                                                                                                                                                                                                                                                  ,2012,2012-2013,2,124
船舶海洋与建筑工程学院,王国庆,副教授                  ,材料力学（F类）                                   ,001-(2012-2013-2)EM152(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第7节--第8节
东中院1-102(1-16周).王国庆
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,59
船舶海洋与建筑工程学院,刘桦,教授                    ,流体力学（C类）（1）                              ,001-(2012-2013-2)EM203(教学班)                    ,51,3.0,"行课安排为第1周 --- 第13周,其中:
星期一  第3节--第4节
东中院1-304(1-13周).刘桦
星期三  第1节--第2节
东中院1-304(1-13周).刘桦
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,26
船舶海洋与建筑工程学院,张卫刚,教授                    ,工程力学实验（2）                                 ,001-(2012-2013-2)EM206(教学班)                    ,17,1.0,"行课安排为第1周 --- 第8周,其中:
星期四  第9节--第10节
东上院100(1-1周).张卫刚
.(2-8周).张卫刚
","第一周上课地点：东上院100

                                                                                                                                                                                                                                       ",2011,2012-2013,2,13
